,0,1,2,3,4,5,6,7,8
0,9335.0,298.0,81.0,160.0,2.0,0.0,0.0,3.0,1387.0
1,6243.0,45.0,7.0,39.0,1.0,0.0,0.0,0.0,1550.0
2,136.0,56.0,10.0,20.0,2.0,0.0,0.0,0.0,29.0
3,0.0,28.0,5.0,20.0,1.0,0.0,0.0,0.0,31.0
4,0.0,96.0,8.0,9.0,1.0,0.0,0.0,0.0,16.0
5,0.0,277.0,3.0,80.0,4.0,0.0,0.0,0.0,42.0
6,0.0,9465.0,25.0,177.0,4.0,2.0,0.0,0.0,468.0
7,25.0,44853.0,292.0,445.0,27.0,0.0,0.0,41.0,1193.0
8,7.0,82417.0,1122.0,898.0,98.0,3.0,2.0,52.0,2248.0
9,12.0,86920.0,12201.0,5022.0,197.0,6.0,3.0,112.0,4629.0
10,22.0,74448.0,16049.0,36688.0,289.0,2.0,100.0,333.0,5423.0
11,9.0,60381.0,14487.0,45184.0,81.0,1.0,286.0,380.0,6427.0
12,85.0,49994.0,15348.0,38970.0,51.0,2.0,913.0,699.0,3269.0
13,17.0,42371.0,17111.0,37423.0,23.0,0.0,447.0,370.0,2503.0
14,108.0,38791.0,13762.0,36288.0,67.0,3.0,762.0,331.0,3075.0
15,265.0,37425.0,12734.0,40670.0,33.0,3.0,186.0,373.0,3399.0
16,422.0,49936.0,8405.0,39631.0,8.0,0.0,189.0,335.0,4957.0
17,1314.0,74122.0,5380.0,33795.0,21.0,2.0,19.0,226.0,4629.0
18,8721.0,88730.0,6704.0,34294.0,24.0,24.0,38.0,136.0,6138.0
19,22379.0,76607.0,2521.0,18724.0,38.0,14.0,45.0,105.0,9439.0
20,26017.0,42381.0,1097.0,3077.0,8.0,3.0,32.0,152.0,6342.0
21,18213.0,19035.0,249.0,2021.0,29.0,8.0,0.0,57.0,3063.0
22,14067.0,3085.0,215.0,610.0,9.0,16.0,0.0,48.0,2003.0
23,10021.0,381.0,170.0,202.0,4.0,0.0,0.0,22.0,1416.0
