year,小姐,发票,广告,诈骗,办证,赌博,驾驶证,贷款,其他
0,32400.0,619.0,95.0,255.0,2.0,0.0,0.0,90.0,2017.0
1,20698.0,309.0,19.0,134.0,1.0,0.0,0.0,4.0,2262.0
2,590.0,137.0,39.0,137.0,2.0,0.0,0.0,0.0,77.0
3,13.0,146.0,68.0,62.0,1.0,0.0,0.0,0.0,84.0
4,11.0,237.0,15.0,64.0,1.0,0.0,0.0,0.0,40.0
5,6.0,732.0,10.0,175.0,4.0,0.0,0.0,0.0,251.0
6,19.0,28040.0,124.0,481.0,36.0,2.0,8.0,0.0,2233.0
7,47.0,116984.0,725.0,1013.0,123.0,0.0,126.0,69.0,5212.0
8,50.0,185802.0,2349.0,2126.0,227.0,4.0,350.0,255.0,6773.0
9,25.0,186963.0,22507.0,15481.0,333.0,12.0,387.0,466.0,9639.0
10,28.0,162572.0,40046.0,57671.0,507.0,3.0,528.0,734.0,9741.0
11,23.0,125847.0,35625.0,73007.0,214.0,1.0,528.0,858.0,10952.0
12,287.0,100431.0,36010.0,63645.0,173.0,4.0,1049.0,956.0,8210.0
13,47.0,87331.0,38966.0,54777.0,70.0,1.0,741.0,725.0,6657.0
14,235.0,82719.0,27776.0,60377.0,102.0,3.0,852.0,596.0,7045.0
15,401.0,80951.0,30741.0,66670.0,70.0,3.0,205.0,725.0,7036.0
16,690.0,111758.0,20467.0,64388.0,85.0,7.0,300.0,752.0,8958.0
17,1685.0,173084.0,14667.0,61125.0,105.0,12.0,89.0,514.0,10248.0
18,16335.0,203242.0,10137.0,61364.0,179.0,24.0,79.0,377.0,11936.0
19,60729.0,165885.0,4198.0,38049.0,201.0,20.0,130.0,185.0,15463.0
20,72177.0,85579.0,1810.0,7977.0,80.0,4.0,36.0,195.0,11169.0
21,50634.0,31125.0,545.0,3534.0,33.0,18.0,0.0,133.0,6213.0
22,43747.0,6836.0,304.0,1505.0,38.0,26.0,0.0,74.0,3503.0
23,33554.0,1440.0,189.0,234.0,5.0,0.0,0.0,49.0,2449.0
